epoch,sample_id,semantic_length,padded_length,position_shift,codec_ce,mean_accuracy,q0_accuracy,residual_accuracy,ar_mean_accuracy,ar_q0_accuracy
10,ulsan_007964,19,48,29,6.307056248188019,0.0341796875,0.1875,0.02395833469927311,0.0009765625,0.015625
10,ulsan_008957,8,8,0,6.369023323059082,0.03804348036646843,0.043478261679410934,0.03768116235733032,0.016304347664117813,0.0
10,ulsan_008957,8,24,16,6.350139498710632,0.04076087102293968,0.08695652335882187,0.03768116235733032,0.010869565419852734,0.0
10,ulsan_008957,8,36,28,6.3521773517131805,0.03804348036646843,0.08695652335882187,0.03478261083364487,0.010869565419852734,0.0
10,ulsan_008957,8,48,40,6.351210385560989,0.03804348036646843,0.08695652335882187,0.03478261083364487,0.010869565419852734,0.0
10,ulsan_009812,7,7,0,5.9928175657987595,0.06540697813034058,0.27906978130340576,0.05116279050707817,0.01744186133146286,0.04651162773370743
10,ulsan_009812,7,24,17,5.987821638584137,0.06540697813034058,0.25581395626068115,0.05271317809820175,0.024709302932024002,0.04651162773370743
10,ulsan_009812,7,36,29,5.991670459508896,0.06686046719551086,0.25581395626068115,0.05426356568932533,0.024709302932024002,0.04651162773370743
10,ulsan_009812,7,48,41,5.989957764744759,0.06686046719551086,0.25581395626068115,0.05426356568932533,0.024709302932024002,0.04651162773370743
10,ulsan_010822,8,8,0,4.5809599459171295,0.2388392984867096,0.25,0.2380952537059784,0.1294642835855484,0.1071428582072258
10,ulsan_010822,8,24,16,4.583824172616005,0.2366071492433548,0.25,0.23571430146694183,0.1316964328289032,0.1071428582072258
10,ulsan_010822,8,36,28,4.582901239395142,0.2410714328289032,0.2857142984867096,0.2380952537059784,0.1316964328289032,0.1071428582072258
10,ulsan_010822,8,48,40,4.579556092619896,0.2388392984867096,0.2857142984867096,0.23571430146694183,0.1316964328289032,0.1071428582072258
10,ulsan_011698,20,20,0,6.735401749610901,0.030405405908823013,0.13513514399528503,0.02342342399060726,0.013513513840734959,0.027027027681469917
10,ulsan_011698,20,24,4,6.73499858379364,0.030405405908823013,0.13513514399528503,0.02342342399060726,0.013513513840734959,0.027027027681469917
10,ulsan_011698,20,36,16,6.732983559370041,0.030405405908823013,0.13513514399528503,0.02342342399060726,0.013513513840734959,0.027027027681469917
10,ulsan_011698,20,48,28,6.735542714595795,0.030405405908823013,0.13513514399528503,0.02342342399060726,0.013513513840734959,0.027027027681469917
10,ulsan_012631,21,21,0,4.528383120894432,0.25390625,0.2708333432674408,0.2527777850627899,0.1354166716337204,0.0625
10,ulsan_012631,21,24,3,4.527419209480286,0.2526041865348816,0.2708333432674408,0.25138890743255615,0.1328125,0.0625
10,ulsan_012631,21,36,15,4.5288898050785065,0.2552083432674408,0.2708333432674408,0.2541666626930237,0.1315104216337204,0.0625
10,ulsan_012631,21,48,27,4.525480151176453,0.2578125,0.2708333432674408,0.2569444477558136,0.1354166716337204,0.0625
