epoch,left,right,overlap_frames,mean_token_agreement,q0_agreement,residual_agreement,exact_sequence_same
10,8,15,80,0.25,0.9624999761581421,0.20250000059604645,False
10,8,16,100,0.23125000298023224,0.9900000095367432,0.18066667020320892,False
10,8,17,100,0.40187498927116394,0.09000000357627869,0.42266666889190674,False
10,8,18,32,0.28125,0.90625,0.2395833283662796,False
10,8,19,100,0.4112499952316284,0.09000000357627869,0.4326666593551636,False
10,8,20,100,0.7712500095367432,0.07999999821186066,0.8173333406448364,False
10,9,10,100,0.6768749952316284,0.9200000166893005,0.6606666445732117,False
10,9,11,100,0.7181249856948853,0.7699999809265137,0.7146666646003723,False
10,9,12,100,0.6650000214576721,0.8799999952316284,0.6506666541099548,False
10,9,13,100,0.65625,0.9100000262260437,0.6393333077430725,False
10,9,14,100,0.5181249976158142,0.07999999821186066,0.5473333597183228,False
10,9,15,80,0.19453124701976776,0.10000000149011612,0.20083333551883698,False
10,9,16,100,0.20000000298023224,0.07999999821186066,0.20800000429153442,False
10,9,17,100,0.8899999856948853,0.949999988079071,0.8859999775886536,False
10,9,18,32,0.16015625,0.25,0.15416666865348816,False
10,9,19,100,0.9581249952316284,0.9200000166893005,0.9606666564941406,False
10,9,20,100,0.546875,0.9300000071525574,0.5213333368301392,False
10,10,11,100,0.5918750166893005,0.7099999785423279,0.5839999914169312,False
10,10,12,100,0.9556249976158142,0.9200000166893005,0.9580000042915344,False
10,10,13,100,0.9712499976158142,0.9900000095367432,0.9700000286102295,False
10,10,14,100,0.5162500143051147,0.07000000029802322,0.5460000038146973,False
10,10,15,80,0.21406249701976776,0.11249999701976776,0.22083333134651184,False
10,10,16,100,0.23624999821186066,0.09000000357627869,0.2460000067949295,False
10,10,17,100,0.6875,0.8899999856948853,0.6740000247955322,False
10,10,18,32,0.203125,0.28125,0.1979166716337204,False
10,10,19,100,0.6868749856948853,0.8600000143051147,0.6753333210945129,False
10,10,20,100,0.47999998927116394,0.9700000286102295,0.44733333587646484,False
