epoch,sample_id,switch_frame,frame,relative_to_switch,frame_token_accuracy,q0_correct,residual_accuracy,cumulative_token_accuracy,stop_probability,teacher_frame_token_accuracy,teacher_q0_correct
10,ulsan_000006,38,40,2,0.0,0.0,0.0,0.02286585420370102,0.0033721923828125,0.0,0.0
10,ulsan_000006,38,41,3,0.0,0.0,0.0,0.0223214291036129,0.00128173828125,0.0625,0.0
10,ulsan_000006,38,42,4,0.0,0.0,0.0,0.021802324801683426,0.002044677734375,0.0,0.0
10,ulsan_000006,38,43,5,0.0,0.0,0.0,0.02130681835114956,0.0021820068359375,0.0625,1.0
10,ulsan_000006,38,44,6,0.0,0.0,0.0,0.02083333395421505,0.0028076171875,0.0,0.0
10,ulsan_000006,38,45,7,0.0,0.0,0.0,0.02038043551146984,0.953125,0.0625,0.0
10,ulsan_000006,38,46,8,0.0,0.0,0.0,0.019946807995438576,0.98828125,0.0625,0.0
10,ulsan_000006,38,47,9,0.0,0.0,0.0,0.01953125,0.9921875,0.0,0.0
10,ulsan_000429,0,0,0,0.125,1.0,0.06666667014360428,0.125,0.00186920166015625,0.1875,1.0
10,ulsan_000429,0,1,1,0.0,0.0,0.0,0.0625,0.00164794921875,0.0625,0.0
10,ulsan_000429,0,2,2,0.0,0.0,0.0,0.0416666679084301,0.002716064453125,0.125,1.0
10,ulsan_000429,0,3,3,0.0,0.0,0.0,0.03125,0.003082275390625,0.0,0.0
10,ulsan_000429,0,4,4,0.0,0.0,0.0,0.02500000037252903,0.002471923828125,0.0,0.0
10,ulsan_000429,0,5,5,0.0,0.0,0.0,0.02083333395421505,0.0025482177734375,0.0625,0.0
10,ulsan_000429,0,6,6,0.0,0.0,0.0,0.01785714365541935,0.003082275390625,0.0,0.0
10,ulsan_000429,0,7,7,0.0,0.0,0.0,0.015625,0.003173828125,0.0,0.0
10,ulsan_000429,0,8,8,0.0,0.0,0.0,0.013888888992369175,0.003173828125,0.0,0.0
10,ulsan_000429,0,9,9,0.0,0.0,0.0,0.012500000186264515,0.003936767578125,0.0625,0.0
10,ulsan_000429,0,10,10,0.0,0.0,0.0,0.011363636702299118,0.0028839111328125,0.0,0.0
10,ulsan_000429,0,11,11,0.0,0.0,0.0,0.010416666977107525,0.0029754638671875,0.0625,0.0
